Step 2046 | NS=0.00 EW=0.27 Imb=0.37 Action=1
Step 2047 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2048 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2049 | NS=0.02 EW=0.23 Imb=0.39 Action=1
Step 2050 | NS=0.03 EW=0.20 Imb=0.42 Action=1
Step 2051 | NS=0.03 EW=0.17 Imb=0.43 Action=1
Step 2052 | NS=0.03 EW=0.13 Imb=0.45 Action=1
Step 2053 | NS=0.03 EW=0.12 Imb=0.46 Action=1
Step 2054 | NS=0.03 EW=0.08 Imb=0.47 Action=1
Step 2055 | NS=0.03 EW=0.05 Imb=0.49 Action=0
Step 2056 | NS=0.03 EW=0.03 Imb=0.50 Action=0
Step 2057 | NS=0.03 EW=0.02 Imb=0.51 Action=0
Step 2058 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2059 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2060 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2061 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2062 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2063 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2064 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2065 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2066 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2067 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2068 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2069 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2070 | NS=0.00 EW=0.28 Imb=0.36 Action=1
Step 2071 | NS=0.00 EW=0.27 Imb=0.37 Action=1
Step 2072 | NS=0.00 EW=0.28 Imb=0.36 Action=1
Step 2073 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2074 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2075 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2076 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2077 | NS=0.02 EW=0.17 Imb=0.43 Action=1
Step 2078 | NS=0.02 EW=0.13 Imb=0.44 Action=1
Step 2079 | NS=0.02 EW=0.10 Imb=0.46 Action=1
Step 2080 | NS=0.02 EW=0.08 Imb=0.47 Action=1
Step 2081 | NS=0.02 EW=0.05 Imb=0.48 Action=0
Step 2082 | NS=0.02 EW=0.02 Imb=0.50 Action=0
Step 2083 | NS=0.02 EW=0.00 Imb=0.51 Action=0
Step 2084 | NS=0.00 EW=0.00 Imb=0.50 Action=0
Step 2085 | NS=0.00 EW=0.00 Imb=0.50 Action=0
Step 2086 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2087 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2088 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2089 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2090 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2091 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2092 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2093 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2094 | NS=0.00 EW=0.18 Imb=0.41 Action=0
Step 2095 | NS=0.00 EW=0.20 Imb=0.40 Action=0
Step 2096 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2097 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2098 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2099 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2100 | NS=0.00 EW=0.18 Imb=0.41 Action=1
