episode,steps,total_reward,n_states,epsilon,alpha
456,3683,-132264.4000000002,30235,0.05,0.02
457,3751,-140055.19999999992,30244,0.05,0.02
458,3638,-132069.20000000016,30257,0.05,0.02
459,3665,-135274.79999999996,30273,0.05,0.02
460,3751,-136753.79999999996,30279,0.05,0.02
461,3663,-132637.20000000036,30285,0.05,0.02
462,3672,-134890.99999999997,30297,0.05,0.02
463,3685,-134637.20000000013,30315,0.05,0.02
464,3683,-136050.59999999995,30326,0.05,0.02
465,3678,-133718.40000000002,30336,0.05,0.02
466,3678,-136383.3999999999,30340,0.05,0.02
467,3686,-134145.00000000003,30342,0.05,0.02
468,3714,-133186.2000000002,30350,0.05,0.02
469,3732,-135421.59999999995,30355,0.05,0.02
470,3723,-137655.6,30361,0.05,0.02
471,3666,-132959.80000000002,30371,0.05,0.02
472,3713,-134281.39999999997,30381,0.05,0.02
473,3696,-135145.40000000002,30390,0.05,0.02
474,3708,-137602.30000000042,30396,0.05,0.02
475,3650,-132372.00000000035,30411,0.05,0.02
476,3687,-133237.79999999996,30428,0.05,0.02
477,3689,-134094.59999999992,30435,0.05,0.02
478,3659,-131105.20000000042,30446,0.05,0.02
479,3652,-135266.20000000007,30452,0.05,0.02
480,3678,-133297.00000000017,30454,0.05,0.02
481,3678,-130639.19999999988,30463,0.05,0.02
482,3706,-134253.40000000008,30482,0.05,0.02
483,3714,-133397.19999999992,30493,0.05,0.02
484,3650,-134421.59999999963,30496,0.05,0.02
485,3676,-134170.0,30506,0.05,0.02
486,3746,-134958.80000000042,30526,0.05,0.02
487,3691,-133658.4000000003,30548,0.05,0.02
488,3709,-134300.59999999998,30560,0.05,0.02
489,3724,-135110.0,30569,0.05,0.02
490,3695,-133375.6,30583,0.05,0.02
491,3716,-135523.3000000004,30599,0.05,0.02
492,3707,-132931.20000000027,30607,0.05,0.02
493,3730,-133002.00000000038,30613,0.05,0.02
494,3722,-137627.60000000006,30623,0.05,0.02
495,3686,-134618.1999999997,30625,0.05,0.02
496,3744,-136204.5999999998,30632,0.05,0.02
497,3694,-134587.20000000042,30641,0.05,0.02
498,3730,-135786.9999999999,30652,0.05,0.02
499,3731,-136973.0000000003,30670,0.05,0.02
500,3737,-136549.99999999962,30675,0.05,0.02
