episode,steps,total_reward,n_states,epsilon,alpha
58,3645,-132951.10000000024,18568,0.4161993224435197,0.07477194593032548
59,3668,-134004.2,18630,0.4099563326068669,0.07439808620067385
60,3698,-133521.5999999998,18705,0.4038069876177639,0.07402609576967048
61,3715,-133137.80000000013,18802,0.39774988280349743,0.07365596529082213
62,3727,-135255.60000000012,18919,0.391783634561445,0.07328768546436802
63,3787,-137351.69999999987,19006,0.3859068800430233,0.07292124703704618
64,3713,-136325.80000000025,19122,0.380118276842378,0.07255664080186094
65,3706,-135657.50000000003,19205,0.3744165026897423,0.07219385759785164
66,3744,-134306.80000000013,19307,0.3688002551493962,0.07183288830986238
67,3693,-133667.00000000017,19380,0.36326825132215523,0.07147372386831308
68,3710,-135427.2999999999,19453,0.3578192275523229,0.07111635524897152
69,3759,-137059.50000000023,19525,0.35245193913903805,0.07076077347272666
70,3640,-136649.6,19602,0.34716516005195247,0.07040696960536302
71,3750,-136744.0000000001,19676,0.34195768265117316,0.0700549347573362
72,3685,-132300.80000000008,19747,0.33682831741140556,0.06970466008354953
73,3653,-134432.7999999999,19843,0.3317758926502345,0.06935613678313178
74,3712,-136769.3000000002,19941,0.32679925426048095,0.06900935609921612
75,3713,-135610.50000000032,20016,0.3218972654465737,0.06866430931872003
76,3719,-136034.29999999952,20075,0.3170688064648751,0.06832098777212643
77,3775,-136004.30000000016,20148,0.312312774367902,0.0679793828332658
78,3660,-134840.60000000015,20229,0.30762808275238346,0.06763948591909946
79,3670,-136268.70000000024,20321,0.3030136615110977,0.06730128848950397
80,3773,-136346.40000000008,20405,0.29846845658843124,0.06696478204705644
81,3739,-136308.10000000094,20462,0.2939914297396048,0.06662995813682115
82,3719,-133988.10000000015,20553,0.28958155829351073,0.06629680834613705
83,3718,-133101.3000000003,20616,0.2852378349191081,0.06596532430440637
84,3694,-133041.29999999967,20675,0.28095926739532145,0.06563549768288433
85,3676,-134018.6999999998,20743,0.2767448783843916,0.06530732019446991
86,3693,-133416.40000000008,20803,0.27259370520862575,0.06498078359349757
87,3685,-132937.49999999985,20852,0.26850479963049634,0.06465587967553008
88,3686,-133369.20000000007,20910,0.26447722763603887,0.06433260027715243
89,3720,-136740.4999999998,20971,0.2605100692214983,0.06401093727576666
90,3723,-135287.10000000018,21020,0.2566024181831758,0.06369088258938783
91,3700,-134539.49999999985,21072,0.2527533819104282,0.0633724281764409
92,3683,-135573.2999999998,21147,0.24896208118177174,0.06305556603555869
93,3728,-131756.60000000027,21218,0.24522764996404517,0.0627402882053809
