 Retrying in 1 seconds
step 86: q_j1=0.10 a_j1=1 | q_j2=0.13 a_j2=1
step 87: q_j1=0.07 a_j1=1 | q_j2=0.13 a_j2=1
step 88: q_j1=0.03 a_j1=0 | q_j2=0.13 a_j2=0
step 89: q_j1=0.03 a_j1=0 | q_j2=0.10 a_j2=0
step 90: q_j1=0.00 a_j1=1 | q_j2=0.07 a_j2=0
step 91: q_j1=0.02 a_j1=1 | q_j2=0.05 a_j2=1
step 92: q_j1=0.03 a_j1=1 | q_j2=0.08 a_j2=1
step 93: q_j1=0.05 a_j1=1 | q_j2=0.08 a_j2=1
step 94: q_j1=0.07 a_j1=1 | q_j2=0.12 a_j2=1
step 95: q_j1=0.08 a_j1=1 | q_j2=0.10 a_j2=1
step 96: q_j1=0.12 a_j1=1 | q_j2=0.15 a_j2=1
step 97: q_j1=0.13 a_j1=1 | q_j2=0.18 a_j2=1
step 98: q_j1=0.15 a_j1=1 | q_j2=0.17 a_j2=1
step 99: q_j1=0.17 a_j1=1 | q_j2=0.18 a_j2=1
step 100: q_j1=0.18 a_j1=1 | q_j2=0.18 a_j2=1
step 101: q_j1=0.22 a_j1=1 | q_j2=0.22 a_j2=0
step 102: q_j1=0.23 a_j1=1 | q_j2=0.25 a_j2=0
step 103: q_j1=0.27 a_j1=1 | q_j2=0.25 a_j2=0
step 104: q_j1=0.25 a_j1=1 | q_j2=0.25 a_j2=1
step 105: q_j1=0.23 a_j1=1 | q_j2=0.25 a_j2=1
step 106: q_j1=0.23 a_j1=1 | q_j2=0.22 a_j2=1
step 107: q_j1=0.20 a_j1=1 | q_j2=0.20 a_j2=1
step 108: q_j1=0.20 a_j1=1 | q_j2=0.18 a_j2=1
step 109: q_j1=0.18 a_j1=1 | q_j2=0.20 a_j2=1
step 110: q_j1=0.22 a_j1=1 | q_j2=0.18 a_j2=1
step 111: q_j1=0.18 a_j1=1 | q_j2=0.17 a_j2=1
step 112: q_j1=0.17 a_j1=1 | q_j2=0.13 a_j2=1
step 113: q_j1=0.13 a_j1=1 | q_j2=0.10 a_j2=1
step 114: q_j1=0.13 a_j1=0 | q_j2=0.07 a_j2=0
step 115: q_j1=0.12 a_j1=0 | q_j2=0.05 a_j2=0
step 116: q_j1=0.10 a_j1=0 | q_j2=0.03 a_j2=0
step 117: q_j1=0.08 a_j1=1 | q_j2=0.02 a_j2=1
step 118: q_j1=0.08 a_j1=1 | q_j2=0.02 a_j2=1
step 119: q_j1=0.12 a_j1=1 | q_j2=0.05 a_j2=1
step 120: q_j1=0.12 a_j1=1 | q_j2=0.07 a_j2=1
step 121: q_j1=0.10 a_j1=1 | q_j2=0.10 a_j2=1
step 122: q_j1=0.12 a_j1=1 | q_j2=0.12 a_j2=1
step 123: q_j1=0.13 a_j1=1 | q_j2=0.13 a_j2=1
step 124: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
step 125: q_j1=0.20 a_j1=1 | q_j2=0.18 a_j2=1
step 126: q_j1=0.20 a_j1=1 | q_j2=0.20 a_j2=1
step 127: q_j1=0.22 a_j1=1 | q_j2=0.22 a_j2=0
step 128: q_j1=0.22 a_j1=1 | q_j2=0.23 a_j2=0
step 129: q_j1=0.23 a_j1=1 | q_j2=0.28 a_j2=0
step 130: q_j1=0.20 a_j1=1 | q_j2=0.27 a_j2=1
step 131: q_j1=0.18 a_j1=1 | q_j2=0.23 a_j2=1
step 132: q_j1=0.18 a_j1=1 | q_j2=0.23 a_j2=1
step 133: q_j1=0.17 a_j1=1 | q_j2=0.20 a_j2=1
step 134: q_j1=0.17 a_j1=1 | q_j2=0.20 a_j2=1
